dataset,query_id,query,top10_overlap_count,top10_overlap_ratio,new_docs_after_bge,removed_docs_after_bge
SciFact,628,Infection of human T-cell lymphotropic virus type 1 is most frequent in individuals of African origin.,5,0.5,"['37444589', '39443128', '20357868', '8593263', '2947124']","['24510595', '23915841', '10450300', '8300657', '21274496']"
SciFact,636,"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",8,0.8,"['3155374', '16201748']","['38401028', '14252892']"
SciFact,637,Input from  mental and physical health care professionals is effective at decreasing homelessness.,3,0.3,"['154243324', '6129301', '8529693', '13934676', '7595742', '20606520', '12672066']","['73473433', '6517267', '20491205', '19071857', '29845974', '38799797', '16625620']"
SciFact,641,Insomnia can be effectively treated with cognitive behavioral therapy.,5,0.5,"['17973630', '31554917', '38752049', '22467585', '18025240']","['24865781', '39532074', '7627167', '7239105', '12672066']"
SciFact,644,Insulin increases risk of severe kidney failure.,4,0.4,"['8814634', '1759213', '22236223', '6250701', '23377475', '5596332']","['120626', '25104843', '21369472', '27166444', '27449472', '27466734']"
SciFact,649,Integrating classroom-based collaborative learning with Web-based collaborative learning leads to subpar class performance,4,0.4,"['20375264', '18654430', '19804204', '4270992', '5650232', '69045262']","['15041758', '11253758', '15678772', '11256632', '16284655', '13205096']"
SciFact,659,Ivermectin is used to treat lymphatic filariasis.,4,0.4,"['10982689', '12801438', '41294031', '20610557', '42279414', '2973910']","['17327939', '7662206', '46765242', '22613657', '13441037', '27567994']"
SciFact,660,Ivermectin is used to treat onchocerciasis.,2,0.2,"['5402581', '12801438', '15648443', '41294031', '42279414', '5956016', '25435456', '29634262']","['7662206', '46765242', '22613657', '13441037', '22482820', '27240699', '14834714', '5704562']"
SciFact,674,LDL cholesterol has no involvement in the development of cardiovascular disease.,5,0.5,"['15561961', '4442799', '75636923', '15155862', '9171913']","['5612738', '6540064', '72933407', '15360986', '43629704']"
SciFact,684,Lack of clpC does not affect sporulation efficiency in Bacillus subtilis cells.,6,0.6,"['18855191', '21943141', '464511', '2904102']","['17416520', '24706198', '2851611', '27373088']"
SciFact,690,Less than 10% of the gabonese children with Schimmelpenning-Feuerstein-Mims syndrome (SFM) had a plasma lactate of more than 5mmol/L.,3,0.3,"['13831558', '9310407', '18750453', '18256197', '18557974', '15559582', '75636923']","['18174210', '7011850', '24906548', '12991445', '25420421', '5596332', '25938221']"
SciFact,691,Leukemia associated Rho guanine nucleotide-exchange factor represses RhoA in response to SRC activation.,3,0.3,"['45764440', '32532238', '28195565', '10450725', '5270265', '5821617', '4373445']","['24881307', '8093935', '14119470', '10530014', '16511863', '23700330', '7114092']"
SciFact,692,Leuko-increased blood increases infectious complications in red blood cell transfusion.,4,0.4,"['27243019', '42065070', '623486', '27602752', '1373287', '8137081']","['23203102', '11349166', '40900567', '23124332', '2488880', '13514898']"
SciFact,693,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,4,0.4,"['27243019', '623486', '25499612', '26474812', '3001685', '2488880']","['23203102', '36288526', '11349166', '40900567', '23124332', '13514898']"
SciFact,700,Localization of PIN1 in the Arabidopsis embryo does not require VPS9a,4,0.4,"['38675228', '40429879', '435529', '11083121', '32797183', '36708463']","['20977638', '1669173', '28071965', '52944377', '18264714', '10790846']"
SciFact,702,Localization of PIN1 in the roots of Arabidopsis does not require VPS9a,5,0.5,"['40429879', '11083121', '36450001', '435529', '14610165']","['20402596', '18264714', '10790846', '4544916', '52944377']"
SciFact,715,Low expression of miR7a does represses target genes and exerts a biological function in ovaries.,3,0.3,"['153744', '22843616', '13702924', '643765', '86602746', '23286603', '12152977']","['16550075', '37204802', '9752604', '10443642', '28390999', '25519138', '5824955']"
SciFact,716,Low expression of miR7a exerts a biological function in testis.,4,0.4,"['8267678', '12440953', '45143088', '45244537', '7595742', '9159495']","['27949347', '23581096', '4346436', '23356816', '5700349', '4300851']"
SciFact,718,Low nucleosome occupancy correlates with low methylation levels across species.,7,0.7,"['29190724', '4455466', '18895793']","['18074797', '21380232', '13230773']"
SciFact,721,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,4,0.4,"['42782688', '8325952', '39550665', '10559501', '12994780', '52805891']","['5800138', '14938990', '7948486', '33904789', '15578265', '7433668']"
SciFact,723,Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.,5,0.5,"['52925737', '3330111', '15248287', '12058271', '29509926']","['1800734', '15058155', '8396189', '20758340', '36345185']"
SciFact,727,Ly6C hi monocytes have a lower inflammatory capacity compared to their Ly6C lo counterparts.,6,0.6,"['2436602', '22621251', '17934603', '5107861']","['6123924', '2605032', '7489663', '11868606']"
SciFact,728,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,5,0.5,"['22621251', '2436602', '17934603', '13905670', '8317408']","['7948486', '7489663', '25148216', '11868606', '12827098']"
SciFact,729,Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,4,0.4,"['4394525', '36838958', '30297355', '20672596', '6308416', '8133180']","['18489989', '15381976', '364522', '4729644', '52873726', '5531479']"
SciFact,742,Macrolides have no protective effect against myocardial infarction.,3,0.3,"['10984005', '6853699', '33409100', '3272084', '15984735', '5824985', '6070278']","['43629704', '17897801', '5884524', '34873974', '44384384', '44264297', '3981244']"
SciFact,743,Macrolides protect against myocardial infarction.,1,0.1,"['6853699', '10984005', '3272084', '3056682', '33409100', '51865482', '9813098', '18256197', '15984735']","['34873974', '43629704', '5884524', '44384384', '34054472', '6158879', '13823200', '17897801', '5993745']"
SciFact,744,Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.,5,0.5,"['1469751', '7223604', '4362729', '10982689', '7451607']","['6722522', '31407112', '23895668', '33920995', '5389095']"
SciFact,756,Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.,6,0.6,"['37204802', '21465696', '16056410', '40447899']","['3230361', '12172346', '12588500', '25606339']"
SciFact,759,Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have a dramatic impact in reducing malaria transmission.,7,0.7,"['20761364', '18174210', '25499612']","['13948920', '18153456', '13901073']"
SciFact,768,Mercaptopurine is anabolized into the inactive methylmercaptopurine by thiopurine methyltrasnferase (TPMT).,3,0.3,"['23195302', '6421792', '3831884', '9063688', '44640124', '41925568', '7552147']","['15778034', '2817000', '21557055', '9505448', '4085204', '18694784', '4389394']"
SciFact,770,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in reduced efficacy and lower quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,4,0.4,"['24974080', '5386514', '195680777', '20127522', '52180874', '10958594']","['13256155', '24873253', '9929089', '42731834', '20606520', '7821634']"
SciFact,775,Mice defective for deoxyribonucleic acid (DNA) polymerase I (polI) reveal increased sensitivity to ionizing radiation (IR).,6,0.6,"['43880096', '2701077', '43014661', '5572127']","['13025574', '15535511', '6536598', '23698769']"
SciFact,781,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,7,0.7,"['22908536', '4391121', '10627801']","['7115651', '854417', '19130782']"
SciFact,783,Mice without IFN-γ or its receptor are resistant to EAM induced with α-MyHC/CFA.,5,0.5,"['1386103', '24338780', '4391121', '14116046', '22908536']","['29015485', '17671145', '7115651', '19005293', '28015516']"
SciFact,784,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,3,0.3,"['13290521', '14581009', '23727313', '8006440', '11951999', '4465608', '19047331']","['23535770', '16999023', '25597580', '38727075', '2547636', '28530299', '1848452']"
SciFact,785,Microarray results from culture-amplified mixtures of serotypes correlate poorly with microarray results from uncultured mixtures.,3,0.3,"['42787108', '9291668', '4429932', '7717468', '9634465', '28928964', '9451684']","['20649327', '24234341', '23117928', '25452937', '31803596', '8202880', '39285547']"
SciFact,793,Mitochondria are uninvolved in apoptosis.,3,0.3,"['15836115', '11837657', '25439264', '39381118', '7465900', '28249680', '8654183']","['23509113', '8425533', '1991105', '4701662', '9588931', '3107733', '3619931']"
SciFact,800,Modifying the epigenome in the brain affects the normal human aging process by affecting certain genes related to neurogenesis.,5,0.5,"['6040392', '22264117', '7988832', '26230669', '7492250']","['11992632', '5824955', '11935250', '3669694', '20418809']"
SciFact,805,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,5,0.5,"['3825472', '6550579', '6944800', '3471191', '21179714']","['36642096', '25543207', '9600826', '23160444', '19485649']"
SciFact,808,Most termination events in Okazaki fragments are sequence specific.,5,0.5,"['6535392', '22003328', '17731780', '8002887', '40447899']","['36180468', '4313478', '25799020', '152245', '2841164']"
SciFact,811,Mutant mice lacking SVCT2 have greatly increased ascorbic acid levels in both brain and adrenals.,3,0.3,"['5107861', '2601324', '8698208', '5409325', '22972632', '28441310', '7399084']","['7221410', '17081238', '21878751', '34733465', '9748934', '23124332', '10627801']"
SciFact,814,"Mutations in G-Beta protein GNB2 are present in many cancers, resulting in loss of interaction with G-alpha subunits and concomitant activation of AKT pathway.",1,0.1,"['21551568', '13329980', '21307488', '17648235', '4362729', '34016944', '23863551', '22401720', '1044552']","['22036571', '14171859', '55040297', '14241418', '13411519', '46305977', '4993011', '4961038', '11615242']"
SciFact,820,N-terminal cleavage increases success identifying transcription start sites.,4,0.4,"['15879544', '18670', '35448676', '27061085', '4387494', '15600979']","['5116145', '4407455', '5702790', '16691520', '5953485', '19238']"
SciFact,821,N-terminal cleavage reduces success identifying transcription start sites.,4,0.4,"['15879544', '35448676', '18670', '4387494', '27061085', '8494570']","['5116145', '4407455', '5702790', '16691520', '5864770', '8712839']"
SciFact,823,N348I mutations cause resistance to zidovudine (AZT).,4,0.4,"['601033', '20754359', '28738741', '41120293', '28264919', '31460499']","['6426919', '10326242', '641786', '6421792', '14819804', '2272614']"
SciFact,830,NF2 (Merlin) causes phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila by activating LATS1/2 kinases.,5,0.5,"['21250322', '14328288', '8417211', '20620012', '1641873']","['4324278', '34445160', '23634484', '38143689', '35884026']"
SciFact,831,NF2 (Merlin) prevents phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila.,6,0.6,"['14328288', '1641873', '4388082', '51817902']","['4324278', '36310858', '29422484', '8903143']"
SciFact,832,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,5,0.5,"['14719322', '7736860', '19561411', '1410197', '16398827']","['10562341', '37964706', '29362104', '17231273', '19205437']"
SciFact,834,NOX2-independent pathways can generate peroxynitrite by reacting with nitrogen intermediates.,5,0.5,"['5483793', '6580081', '21170174', '143251', '16319097']","['12631182', '29459383', '24742375', '4324278', '22914228']"
SciFact,837,NR5A2 is important in development of endometrial tissues.,4,0.4,"['26121646', '1428840', '17188921', '11271123', '38502066', '3896759']","['25263942', '3210545', '16346504', '23460562', '2389574', '11428884']"
SciFact,839,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,10,1.0,[],[]
SciFact,845,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,5,0.5,"['43054703', '1800734', '1049501', '11328820', '28149602']","['46517055', '17967608', '30041340', '28015516', '14853989']"
SciFact,847,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,5,0.5,"['1386103', '22908536', '31363207', '15997009', '11837657']","['341324', '7230315', '18261004', '5284188', '18321590']"
SciFact,852,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,6,0.6,"['40867854', '38735355', '8593263', '2391552']","['42836872', '23801039', '31634628', '11441172']"
SciFact,859,Normal expression of RUNX1 has tumor-promoting effects.,6,0.6,"['243694', '4429118', '28206748', '7046487']","['25726838', '13007205', '5774746', '7228140']"
SciFact,870,Obesity decreases life quality.,2,0.2,"['4345757', '12805683', '25315295', '13573143', '5268462', '24347647', '25973484', '52865789']","['37029185', '32421068', '1831916', '11201004', '26199970', '3981244', '15041758', '2820454']"
SciFact,873,Obesity is determined solely by environmental factors.,5,0.5,"['5268462', '29947146', '37205759', '1180972', '13083189']","['13441037', '38794814', '3672261', '21874312', '24896957']"
SciFact,879,Occupancy of ribosomes by IncRNAs do not make functional peptides.,4,0.4,"['344240', '10190462', '3680979', '13552682', '8512633', '8126244']","['29459383', '24042363', '20725212', '8570478', '4418269', '15893330']"
SciFact,880,Occupancy of ribosomes by IncRNAs mirror 5 0-UTRs,5,0.5,"['2380002', '18694784', '15893330', '20018321', '13552682']","['26047921', '20725212', '2842550', '18467982', '23208167']"
SciFact,882,Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegetarians.,5,0.5,"['44624045', '20672596', '19460822', '13714201', '168265642']","['11181416', '24594624', '23100962', '25822299', '25135304']"
SciFact,887,Only a minority of cells survive development after differentiation into stress-resistant spores.,2,0.2,"['7506409', '22264117', '16630060', '20524091', '2251426', '44562221', '195689757', '13441537']","['33872649', '14893428', '22517564', '10273147', '4979184', '3173489', '4424888', '24766509']"
SciFact,903,PD-1 triggering on monocytes reduces IL-10 production by monocytes.,4,0.4,"['9334631', '15425958', '8639034', '43534665', '7343711', '6853699']","['1360607', '34469966', '21498497', '5372773', '22483580', '8317408']"
SciFact,904,PDPN promotes efficient motility along stromal surfaces by activating the C-type lectin receptor to rearrange the actin cytoskeleton in dendritic cells.,6,0.6,"['15491404', '4417558', '21498497', '12885341']","['8997410', '15176526', '35660758', '17327939']"
SciFact,907,PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.,3,0.3,"['6896063', '39758684', '11271123', '343052', '1032372', '2443495', '20732789']","['19683625', '14332945', '17755060', '14471161', '20568364', '11968641', '57783564']"
SciFact,911,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,4,0.4,"['10889845', '649951', '4394525', '43048059', '1386103', '40349336']","['16270577', '6625693', '44500794', '25141908', '25827024', '37205759']"
SciFact,913,PPAR-RXRs are inhibited by PPAR ligands.,7,0.7,"['2158516', '24150328', '36889513']","['23938319', '20690388', '22134353']"
SciFact,914,PPAR-RXRs can be activated by PPAR ligands.,6,0.6,"['24150328', '25677651', '36889513', '8856690']","['4319174', '23938319', '20690388', '17412260']"
SciFact,921,Participating in six months of physical activity improves cognitive functioning.,4,0.4,"['23073816', '12672066', '12205576', '50670403', '3202143', '31884697']","['21274919', '15041758', '39443128', '24396137', '58564850', '23862975']"
SciFact,922,Patients in stable partnerships have a faster progression from HIV to AIDS.,3,0.3,"['5752492', '8883846', '37444589', '24943534', '21274496', '3566945', '5835149']","['11230569', '23304931', '11238951', '46353045', '1259359', '22227889', '31562330']"
SciFact,936,Peroxynitrite is required for nitration of TCR/CD8.,6,0.6,"['13878643', '14657344', '45414636', '4468861']","['20457190', '35987381', '18758057', '27910499']"
SciFact,956,Pleiotropic coupling of GLP-1R to intracellular effectors promotes distinct profiles of cellular signaling.,4,0.4,"['22901758', '14719322', '30675656', '11390393', '18264714', '16853734']","['11090688', '32697244', '30303335', '19099739', '51952430', '4429118']"
SciFact,957,Podocytes are motile and migrate in the presence of injury.,6,0.6,"['7489663', '17188921', '23509113', '21369472']","['11983390', '14591894', '86694016', '24989194']"
SciFact,960,Polymeal nutrition reduces cardiovascular mortality.,1,0.1,"['2159648', '12709184', '27665523', '5939172', '13230773', '16233471', '12794099', '7454794', '9617381']","['75636923', '30981192', '6525844', '202259', '25355575', '6793674', '5698494', '11748341', '28894097']"
SciFact,967,Pretreatment with the Arp2/3 inhibitor CK-666 affects lamelliopodia formation.,5,0.5,"['3506723', '9063688', '36345185', '27099731', '21199527']","['16280642', '40367499', '12631697', '25817686', '40500438']"
SciFact,971,Primary cervical cancer screening with HPV detection has higher longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,8,0.8,"['19140422', '20422174']","['23136735', '13857083']"
SciFact,975,Primary pro-inflammatory cytokines induce secondary pro- and anti-inflammatory mediators.,3,0.3,"['2844490', '52865789', '27093166', '2391552', '21320417', '45096063', '25315295']","['4454788', '29509926', '3475317', '34378726', '6580081', '30908508', '10029891']"
SciFact,982,Proteins synthesized at the growth cone are ubiquitinated at a higher rate than proteins from the cell body.,4,0.4,"['6422576', '24737389', '6609935', '12225214', '86602746', '20672596']","['33912020', '21380348', '21562657', '9283422', '18078750', '15593561']"
SciFact,985,Pseudogene PTENP1 regulates the expression of PTEN by functioning as an miRNA decoy.,6,0.6,"['2619579', '16201748', '654735', '2000038']","['13290521', '15113221', '34016944', '22901758']"
SciFact,993,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,9,0.9,['12922760'],['6386930']
SciFact,1012,Radioiodine treatment of non-toxic multinodular goitre reduces thyroid volume.,7,0.7,"['8839502', '3619931', '6334188']","['20544428', '18414462', '20611846']"
SciFact,1014,Rapamycin decreases the concentration of triacylglycerols in fruit flies.,3,0.3,"['37205759', '4362729', '11903247', '17195001', '4434951', '8417211', '14874811']","['18557974', '15615957', '34760396', '10852047', '10790846', '24632480', '1974176']"
SciFact,1019,Rapid phosphotransfer rates govern fidelity in two component systems,5,0.5,"['31844040', '12370190', '15282056', '27840664', '11238784']","['44172171', '40429879', '26996935', '20602517', '104143831']"
SciFact,1020,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,6,0.6,"['72159', '11016410', '29429111', '13492264']","['34287602', '6163801', '26071782', '26731863']"
SciFact,1021,Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,5,0.5,"['72159', '11016410', '13492264', '29429111', '11992632']","['34287602', '6163801', '26071782', '26731863', '4402497']"
SciFact,1024,Recurrent mutations occur frequently within CTCF anchor sites adjacent to oncogenes.,6,0.6,"['33387953', '37249641', '6401675', '4421547']","['26064942', '24896957', '14973286', '21479575']"
SciFact,1029,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,7,0.7,"['120626', '24069089', '4380287']","['34025053', '1855679', '27449472']"
SciFact,1041,Replacement of histone H2A with H2A.Z slows gene activation in yeasts by stabilizing +1 nucleosomes.,7,0.7,"['9881829', '18694784', '406733']","['5966635', '1259280', '17518195']"
SciFact,1049,Ribosomopathies have a low degree of cell and tissue specific pathology.,3,0.3,"['26112624', '14753395', '9988425', '8995263', '14311986', '20839751', '15493354']","['24044977', '30813140', '13717103', '4890578', '2754534', '17821387', '11935250']"
SciFact,1062,S-nitrosylated GAPDH physiologically transnitrosylates histone deacetylases.,5,0.5,"['32638085', '1754001', '7426741', '7137057', '32985041']","['18678095', '665817', '13639330', '43156471', '14972169']"
SciFact,1086,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,5,0.5,"['6112053', '13883546', '27150276', '26314743', '33533307']","['308862', '2496002', '5850219', '5835149', '15669393']"
SciFact,1088,Silencing of Bcl2 is important for the maintenance and progression of tumors.,3,0.3,"['13070316', '3840043', '18682109', '33638477', '16016673', '37205759', '1921218']","['11915280', '6807122', '7621534', '41548287', '4462155', '7492250', '7736860']"
SciFact,1089,Smc5/6 engagment drives the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,5,0.5,"['4319844', '24725136', '21948782', '13380011', '4305576']","['11903247', '12225214', '6268106', '23576726', '14637235']"
SciFact,1099,Statins decrease blood cholesterol.,6,0.6,"['30981192', '9315213', '7552215', '43629704']","['9617381', '24005548', '1522336', '1287809']"
SciFact,1100,Statins increase blood cholesterol.,6,0.6,"['27449472', '7552215', '30981192', '9315213']","['9617381', '40156901', '1522336', '1287809']"
SciFact,1104,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,4,0.4,"['7454794', '15984735', '25451374', '5884524', '16180601', '14021596']","['11718220', '37065914', '37619697', '4687948', '20544428', '20554003']"
SciFact,1107,Subcutaneous fat depots undergo extensive browning processes after cold exposure.,6,0.6,"['36838958', '52865789', '34582256', '79447']","['41790911', '39187170', '27686445', '970012']"
SciFact,1110,Suboptimal nutrition is not predictive of chronic disease,2,0.2,"['75636923', '8839502', '27408104', '23267371', '14782049', '13230773', '33409100', '17438862']","['10010651', '43128141', '31562330', '18988265', '23983289', '49429882', '28017005', '30813140']"
SciFact,1121,Synaptic activity enhances local release of brain derived neurotrophic factor from postsynaptic dendrites.,7,0.7,"['15491404', '10765888', '11254556']","['23076291', '36637129', '16398827']"
SciFact,1130,T regulatory cells (tTregs) lacking αvβ8 are more adept at suppressing pathogenic T-cell responses during active inflammation.,3,0.3,"['36216395', '20311968', '11899391', '23460562', '5979056', '14644164', '36480032']","['7399084', '5811042', '46926352', '22647695', '20148808', '10190778', '19005293']"
SciFact,1132,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,8,0.8,"['5914739', '41982985']","['20457190', '1196631']"
SciFact,1137,TNFAIP3 is a tumor suppressor in glioblastoma.,4,0.4,"['9559146', '6923961', '7225911', '28107602', '46617075', '17755060']","['5123516', '22901758', '11578459', '195689757', '4979184', '13244602']"
SciFact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,3,0.3,"['12009265', '3355397', '8659426', '6327940', '32852283', '18473550', '24450344']","['25513319', '8702697', '36432234', '8512633', '25915873', '6790197', '14131683']"
SciFact,1144,Taxation of sugar-sweetened beverages had no effect on the incidence rate of type II diabetes in India.,4,0.4,"['8708082', '4886637', '27449472', '6176498', '1974176', '25643818']","['3770750', '33960383', '11953232', '30805636', '56893404', '40156901']"
SciFact,1146,Teaching hospitals do not provide better care than non-teaching hospitals.,7,0.7,"['12258338', '12789595', '21301090']","['21186109', '39300105', '4824840']"
SciFact,1150,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,5,0.5,"['6421792', '25148216', '1373287', '14252892', '42913391']","['8427306', '28614776', '9460704', '11344428', '25832301']"
SciFact,1163,The DdrB protein from Deinococcus radiodurans is an alternative SSB.,6,0.6,"['2479538', '3770750', '10039688', '6847208']","['4067274', '14275671', '18027063', '4361990']"
SciFact,1175,The PPR MDA5 has two N-terminal CARD domains.,4,0.4,"['10627801', '2582169', '17402386', '14474178', '31107919', '34071621']","['38899659', '24550453', '26011884', '612002', '5702790', '35531883']"
SciFact,1179,The PRR MDA5 has a central DExD/H RNA helices domain.,5,0.5,"['15419873', '14474178', '20018321', '5702790', '1383826']","['1569031', '3981729', '6144337', '52095986', '12149169']"
SciFact,1180,The PRR MDA5 is a sensor of RNA virus infection.,8,0.8,"['2492146', '1569031']","['30437264', '26133404']"
SciFact,1185,The US health care system can save up to $750 million if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,4,0.4,"['7034001', '10582939', '22236223', '44265107', '6157837', '13619127']","['11230569', '45461275', '25121903', '40790033', '13071728', '23377475']"
SciFact,1187,The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,4,0.4,"['4465762', '16546131', '21557055', '18037805', '40447899', '11420613']","['19099739', '3893473', '34071621', '3052213', '11011905', '7688110']"
SciFact,1191,The amount of publicly available DNA data doubles every 10 years.,2,0.2,"['20375264', '3662510', '32421068', '19205326', '24552097', '29807737', '2360905', '33733520']","['36355784', '10827901', '45548062', '11880289', '25853741', '24979644', '24596228', '7396492']"
SciFact,1194,The arm density of TatAd complexes is due to structural rearrangements within Class1 TatAd complexes such as the 'charge zipper mechanism'.,3,0.3,"['22561064', '15548965', '13992047', '25488034', '10009203', '8577229', '35004872']","['37362689', '22042345', '15327601', '35256900', '3400973', '33499189', '14920021']"
SciFact,1196,The availability of safe places to study is effective at decreasing homelessness.,3,0.3,"['17626822', '10463997', '7514614', '145335387', '4345757', '20375264', '21902910']","['2264455', '55040297', '38376189', '33135135', '474325', '9161988', '8780599']"
SciFact,1197,The availability of safe places to study is not effective at decreasing homelessness.,4,0.4,"['17626822', '7514614', '145335387', '21902910', '1886551', '20375264']","['2264455', '55040297', '38376189', '474325', '9161988', '10749308']"
SciFact,1199,The benefits of colchicine were achieved with effective widespread use of secondary prevention strategies such as high-dose statins.,4,0.4,"['30981192', '32390525', '10300000', '3215494', '23294314', '12662435']","['2522977', '437924', '7613033', '30805636', '6748318', '29981186']"
SciFact,1200,The binding orientation of the ML-SA1 activator at hTRPML2 is different from the binding orientation of the ML-SA1 activator at hTRPML1.,4,0.4,"['11498670', '28369117', '2832403', '29098525', '13592721', '26011884']","['20179918', '778436', '1744752', '3893473', '25462689', '21219071']"
SciFact,1202,The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,4,0.4,"['17412260', '24707550', '44724517', '1049501', '16863359', '15435343']","['9225850', '19130782', '21258863', '40323148', '34378726', '29509926']"
SciFact,1204,The combination of H3K4me3 and H3K79me2 is found in quiescent hair follicle stem cells.,4,0.4,"['2701077', '6455142', '10165258', '21645205', '17702490', '18374364']","['15907458', '17271462', '4388082', '19510470', '40349336', '16660256']"
SciFact,1207,The composition of myosin-II isoform switches from the polarizable B isoform to the more homogenous A isoform during hematopoietic differentiation.,5,0.5,"['38380061', '14972169', '13116880', '12800122', '735130']","['11721676', '22036571', '3868322', '9420732', '40090058']"
SciFact,1213,The deregulated and prolonged activation of monocytes has deleterious effects in inflammatory diseases.,4,0.4,"['21498497', '17708753', '34016987', '5107861', '22621251', '14386505']","['23901235', '7948486', '36444198', '25148216', '16905344', '52925737']"
SciFact,1216,The extracellular domain of TMEM27 is cleaved in human beta cells.,4,0.4,"['9194077', '86231298', '31107919', '44640124', '1044552', '36180468']","['11557602', '21164071', '19828689', '21108759', '13779605', '8219248']"
SciFact,1221,The genomic aberrations found in matasteses are very similar to those found in the primary tumor.,3,0.3,"['25504006', '470625', '12337611', '7211056', '3419802', '7898952', '7020505']","['16732790', '40900242', '33370', '10247314', '8208212', '21855837', '11861374']"
SciFact,1225,The locus rs647161 is associated with colorectal carcinoma.,5,0.5,"['20501163', '24974080', '2328272', '5372432', '5641851']","['8963413', '21181273', '36399107', '7165938', '42731834']"
SciFact,1226,"The loss of the TET protein functions may have dire biological consequences, such as myeloid cancers.",4,0.4,"['4421746', '2030623', '29735200', '2380002', '24713020', '17775228']","['15081770', '11902109', '12440953', '28193026', '33387953', '6327940']"
SciFact,1232,The minor G allele of FOXO3 is related to more severe symptoms of Crohn's Disease.,4,0.4,"['8002887', '5922085', '13651792', '1265945', '7735859', '18988265']","['6957332', '4427060', '12443371', '24906548', '18446525', '4449524']"
SciFact,1241,The myocardial lineage develops from cardiac progenitors of mesodermal origin.,4,0.4,"['17991818', '43661837', '25858295', '12411274', '2828460', '14060030']","['17933691', '4335423', '20186814', '21868715', '4418112', '39164524']"
SciFact,1245,The one-child policy has been successful in lowering population growth.,3,0.3,"['8529693', '4791384', '45548062', '36124058', '145335387', '1606628', '849771']","['39593548', '8595678', '154763124', '202259', '12428497', '9315213', '704526']"
SciFact,1259,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,5,0.5,"['13069283', '27188320', '24349992', '5864770', '4429932']","['23284774', '20187433', '15721252', '16734530', '21164071']"
SciFact,1262,The repair of Cas9-induced double strand breaks in human DNA is error-prone.,5,0.5,"['2701077', '42520882', '8577229', '39758684', '16472469']","['27635177', '21561474', '12552297', '1941721', '13023410']"
SciFact,1266,"The risk of breast cancer among parous women increases with placental weight of pregnancies, and this association is strongest for premenopausal breast cancer.",7,0.7,"['16701509', '22007333', '23557241']","['25973484', '16098747', '5487448']"
SciFact,1270,The risk of male prisoners harming themselves is ten times that of female prisoners.,5,0.5,"['20326526', '9976969', '6710713', '2867345', '12443371']","['43855756', '4388470', '41380943', '38793927', '24510595']"
