dataset,query_id,query,candidate_recall@100,num_relevant_qrels,num_bm25_relevant_top10,num_bge_relevant_top10,bm25_relevant_top10,bge_relevant_top10,delta_nDCG@10,failure_type
SciFact,783,Mice without IFN-γ or its receptor are resistant to EAM induced with α-MyHC/CFA.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,784,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,1.0,1,1,1,['2356950'],['2356950'],0.5693234419266069,sucesso_do_reranker
SciFact,785,Microarray results from culture-amplified mixtures of serotypes correlate poorly with microarray results from uncultured mixtures.,1.0,1,1,1,['12471115'],['12471115'],0.0,sem_mudanca_relevante
SciFact,793,Mitochondria are uninvolved in apoptosis.,1.0,1,1,1,['8551160'],['8551160'],0.0,sem_mudanca_relevante
SciFact,800,Modifying the epigenome in the brain affects the normal human aging process by affecting certain genes related to neurogenesis.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,805,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,1.0,1,1,1,['22180793'],['22180793'],0.0,sem_mudanca_relevante
SciFact,808,Most termination events in Okazaki fragments are sequence specific.,1.0,1,1,1,['36606083'],['36606083'],0.0,sem_mudanca_relevante
SciFact,811,Mutant mice lacking SVCT2 have greatly increased ascorbic acid levels in both brain and adrenals.,1.0,1,1,1,['19799455'],['19799455'],0.0,sem_mudanca_relevante
SciFact,814,"Mutations in G-Beta protein GNB2 are present in many cancers, resulting in loss of interaction with G-alpha subunits and concomitant activation of AKT pathway.",1.0,1,1,1,['33387953'],['33387953'],0.0,sem_mudanca_relevante
SciFact,820,N-terminal cleavage increases success identifying transcription start sites.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,821,N-terminal cleavage reduces success identifying transcription start sites.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,823,N348I mutations cause resistance to zidovudine (AZT).,1.0,1,1,1,['15319019'],['15319019'],0.0,sem_mudanca_relevante
SciFact,830,NF2 (Merlin) causes phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila by activating LATS1/2 kinases.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,831,NF2 (Merlin) prevents phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,832,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,1.0,1,1,1,['30303335'],['30303335'],0.0,sem_mudanca_relevante
SciFact,834,NOX2-independent pathways can generate peroxynitrite by reacting with nitrogen intermediates.,1.0,1,0,1,[],['5483793'],0.5,sucesso_do_reranker
SciFact,837,NR5A2 is important in development of endometrial tissues.,1.0,1,1,1,['15928989'],['15928989'],0.0,sem_mudanca_relevante
SciFact,839,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,1.0,1,1,1,['1469751'],['1469751'],0.0,sem_mudanca_relevante
SciFact,845,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,1.0,1,1,1,['17741440'],['17741440'],0.0,sem_mudanca_relevante
SciFact,847,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,1.0,1,1,1,['16787954'],['16787954'],0.0,sem_mudanca_relevante
SciFact,852,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,1.0,1,1,1,['13843341'],['13843341'],0.0,sem_mudanca_relevante
SciFact,859,Normal expression of RUNX1 has tumor-promoting effects.,1.0,1,1,1,['1982286'],['1982286'],-0.2975964202381242,falha_ou_piora_do_reranker
SciFact,870,Obesity decreases life quality.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,873,Obesity is determined solely by environmental factors.,0.2,5,0,1,[],['1180972'],0.10699313236726378,sucesso_do_reranker
SciFact,879,Occupancy of ribosomes by IncRNAs do not make functional peptides.,1.0,1,1,1,['8426046'],['8426046'],0.0,sem_mudanca_relevante
SciFact,880,Occupancy of ribosomes by IncRNAs mirror 5 0-UTRs,1.0,1,1,1,['8426046'],['8426046'],0.0,sem_mudanca_relevante
SciFact,882,Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegetarians.,1.0,1,1,1,['14803797'],['14803797'],0.0,sem_mudanca_relevante
SciFact,887,Only a minority of cells survive development after differentiation into stress-resistant spores.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,903,PD-1 triggering on monocytes reduces IL-10 production by monocytes.,1.0,1,1,1,['10648422'],['10648422'],0.0,sem_mudanca_relevante
SciFact,904,PDPN promotes efficient motility along stromal surfaces by activating the C-type lectin receptor to rearrange the actin cytoskeleton in dendritic cells.,1.0,1,1,1,['7370282'],['7370282'],0.0,sem_mudanca_relevante
SciFact,907,PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.,1.0,1,1,1,['6923961'],['6923961'],0.0,sem_mudanca_relevante
SciFact,911,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,1.0,1,1,1,['11254556'],['11254556'],0.0,sem_mudanca_relevante
SciFact,913,PPAR-RXRs are inhibited by PPAR ligands.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,914,PPAR-RXRs can be activated by PPAR ligands.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,921,Participating in six months of physical activity improves cognitive functioning.,1.0,1,1,1,['1642727'],['1642727'],0.36907024642854247,sucesso_do_reranker
SciFact,922,Patients in stable partnerships have a faster progression from HIV to AIDS.,1.0,1,1,1,['17077004'],['17077004'],0.0,sem_mudanca_relevante
SciFact,936,Peroxynitrite is required for nitration of TCR/CD8.,1.0,1,1,1,['5483793'],['5483793'],0.0,sem_mudanca_relevante
SciFact,956,Pleiotropic coupling of GLP-1R to intracellular effectors promotes distinct profiles of cellular signaling.,1.0,1,1,1,['12956194'],['12956194'],0.0,sem_mudanca_relevante
SciFact,957,Podocytes are motile and migrate in the presence of injury.,1.0,1,1,1,['123859'],['123859'],0.36907024642854247,sucesso_do_reranker
SciFact,960,Polymeal nutrition reduces cardiovascular mortality.,1.0,1,1,1,['8780599'],['8780599'],0.0,sem_mudanca_relevante
SciFact,967,Pretreatment with the Arp2/3 inhibitor CK-666 affects lamelliopodia formation.,1.0,2,2,2,"['2119889', '8997410']","['8997410', '2119889']",0.0,sem_mudanca_relevante
SciFact,971,Primary cervical cancer screening with HPV detection has higher longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,1.0,4,4,4,"['46695481', '28617573', '27873158', '9764256']","['27873158', '46695481', '9764256', '28617573']",0.19519002499605076,sucesso_do_reranker
SciFact,975,Primary pro-inflammatory cytokines induce secondary pro- and anti-inflammatory mediators.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,982,Proteins synthesized at the growth cone are ubiquitinated at a higher rate than proteins from the cell body.,1.0,1,1,1,['2988714'],['2988714'],0.0,sem_mudanca_relevante
SciFact,985,Pseudogene PTENP1 regulates the expression of PTEN by functioning as an miRNA decoy.,1.0,1,1,1,['6828370'],['6828370'],0.0,sem_mudanca_relevante
SciFact,993,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,1.0,1,1,1,['16472469'],['16472469'],0.36907024642854247,sucesso_do_reranker
SciFact,1012,Radioiodine treatment of non-toxic multinodular goitre reduces thyroid volume.,1.0,1,1,1,['9745001'],['9745001'],0.0,sem_mudanca_relevante
SciFact,1014,Rapamycin decreases the concentration of triacylglycerols in fruit flies.,1.0,1,1,1,['6277638'],['6277638'],0.0,sem_mudanca_relevante
SciFact,1019,Rapid phosphotransfer rates govern fidelity in two component systems,1.0,1,1,1,['11603066'],['11603066'],0.0,sem_mudanca_relevante
SciFact,1020,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,1.0,1,1,1,['9433958'],['9433958'],0.13092975357145753,sucesso_do_reranker
SciFact,1021,Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,1.0,1,1,1,['9433958'],['9433958'],0.13092975357145753,sucesso_do_reranker
SciFact,1024,Recurrent mutations occur frequently within CTCF anchor sites adjacent to oncogenes.,1.0,1,1,1,['5373138'],['5373138'],0.0,sem_mudanca_relevante
SciFact,1029,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,1.0,3,2,2,"['11899391', '13923140']","['11899391', '13923140']",0.0,sem_mudanca_relevante
SciFact,1041,Replacement of histone H2A with H2A.Z slows gene activation in yeasts by stabilizing +1 nucleosomes.,1.0,2,2,2,"['25254425', '16626264']","['16626264', '25254425']",-0.018517574949988347,falha_ou_piora_do_reranker
SciFact,1049,Ribosomopathies have a low degree of cell and tissue specific pathology.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1062,S-nitrosylated GAPDH physiologically transnitrosylates histone deacetylases.,1.0,1,1,1,['20381484'],['20381484'],0.0,sem_mudanca_relevante
SciFact,1086,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,1.0,1,1,1,['39281140'],['39281140'],0.0,sem_mudanca_relevante
SciFact,1088,Silencing of Bcl2 is important for the maintenance and progression of tumors.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1089,Smc5/6 engagment drives the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,1.0,1,1,1,['17628888'],['17628888'],0.0,sem_mudanca_relevante
SciFact,1099,Statins decrease blood cholesterol.,1.0,1,1,1,['7662206'],['7662206'],0.0,sem_mudanca_relevante
SciFact,1100,Statins increase blood cholesterol.,1.0,1,1,1,['7662206'],['7662206'],0.0,sem_mudanca_relevante
SciFact,1104,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,1.0,1,1,1,['3898784'],['3898784'],0.0,sem_mudanca_relevante
SciFact,1107,Subcutaneous fat depots undergo extensive browning processes after cold exposure.,1.0,1,1,1,['20532591'],['20532591'],0.0,sem_mudanca_relevante
SciFact,1110,Suboptimal nutrition is not predictive of chronic disease,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1121,Synaptic activity enhances local release of brain derived neurotrophic factor from postsynaptic dendrites.,1.0,1,1,1,['4456756'],['4456756'],0.0,sem_mudanca_relevante
SciFact,1130,T regulatory cells (tTregs) lacking αvβ8 are more adept at suppressing pathogenic T-cell responses during active inflammation.,1.0,1,1,1,['17997584'],['17997584'],0.0,sem_mudanca_relevante
SciFact,1132,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,1.0,2,1,1,['33499189'],['33499189'],0.026870409803294665,sucesso_do_reranker
SciFact,1137,TNFAIP3 is a tumor suppressor in glioblastoma.,1.0,1,1,1,['33370'],['33370'],0.0,sem_mudanca_relevante
SciFact,1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,1.0,1,0,1,[],['12009265'],1.0,sucesso_do_reranker
SciFact,1144,Taxation of sugar-sweetened beverages had no effect on the incidence rate of type II diabetes in India.,1.0,1,1,1,['10071552'],['10071552'],0.0,sem_mudanca_relevante
SciFact,1146,Teaching hospitals do not provide better care than non-teaching hospitals.,1.0,1,1,1,['13906581'],['13906581'],0.0,sem_mudanca_relevante
SciFact,1150,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,1.0,1,1,1,['11369420'],['11369420'],0.0,sem_mudanca_relevante
SciFact,1163,The DdrB protein from Deinococcus radiodurans is an alternative SSB.,1.0,1,1,1,['15305881'],['15305881'],0.0,sem_mudanca_relevante
SciFact,1175,The PPR MDA5 has two N-terminal CARD domains.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,1179,The PRR MDA5 has a central DExD/H RNA helices domain.,1.0,1,1,1,['31272411'],['31272411'],0.03230333766935212,sucesso_do_reranker
SciFact,1180,The PRR MDA5 is a sensor of RNA virus infection.,1.0,1,1,1,['31272411'],['31272411'],0.06932344192660694,sucesso_do_reranker
SciFact,1185,The US health care system can save up to $750 million if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,1.0,1,1,1,['16737210'],['16737210'],0.0,sem_mudanca_relevante
SciFact,1187,The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,1.0,1,1,1,['52873726'],['52873726'],0.0,sem_mudanca_relevante
SciFact,1191,The amount of publicly available DNA data doubles every 10 years.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1194,The arm density of TatAd complexes is due to structural rearrangements within Class1 TatAd complexes such as the 'charge zipper mechanism'.,1.0,1,1,1,['11419230'],['11419230'],0.6845351232142712,sucesso_do_reranker
SciFact,1196,The availability of safe places to study is effective at decreasing homelessness.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1197,The availability of safe places to study is not effective at decreasing homelessness.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1199,The benefits of colchicine were achieved with effective widespread use of secondary prevention strategies such as high-dose statins.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1200,The binding orientation of the ML-SA1 activator at hTRPML2 is different from the binding orientation of the ML-SA1 activator at hTRPML1.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1202,The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,1.0,1,1,1,['3475317'],['3475317'],0.0,sem_mudanca_relevante
SciFact,1204,The combination of H3K4me3 and H3K79me2 is found in quiescent hair follicle stem cells.,1.0,1,1,1,['31141365'],['31141365'],-0.5,falha_ou_piora_do_reranker
SciFact,1207,The composition of myosin-II isoform switches from the polarizable B isoform to the more homogenous A isoform during hematopoietic differentiation.,1.0,1,1,1,['18909530'],['18909530'],0.5693234419266069,sucesso_do_reranker
SciFact,1213,The deregulated and prolonged activation of monocytes has deleterious effects in inflammatory diseases.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1216,The extracellular domain of TMEM27 is cleaved in human beta cells.,1.0,1,1,1,['24142891'],['24142891'],0.0,sem_mudanca_relevante
SciFact,1221,The genomic aberrations found in matasteses are very similar to those found in the primary tumor.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1225,The locus rs647161 is associated with colorectal carcinoma.,1.0,1,1,1,['9650982'],['9650982'],0.0,sem_mudanca_relevante
SciFact,1226,"The loss of the TET protein functions may have dire biological consequences, such as myeloid cancers.",0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1232,The minor G allele of FOXO3 is related to more severe symptoms of Crohn's Disease.,1.0,1,1,1,['13905670'],['13905670'],0.0,sem_mudanca_relevante
SciFact,1241,The myocardial lineage develops from cardiac progenitors of mesodermal origin.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1245,The one-child policy has been successful in lowering population growth.,1.0,1,1,1,['7662395'],['7662395'],0.6845351232142712,sucesso_do_reranker
SciFact,1259,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,1.0,1,1,1,['24341590'],['24341590'],0.0,sem_mudanca_relevante
SciFact,1262,The repair of Cas9-induced double strand breaks in human DNA is error-prone.,1.0,1,1,1,['44172171'],['44172171'],0.0,sem_mudanca_relevante
SciFact,1266,"The risk of breast cancer among parous women increases with placental weight of pregnancies, and this association is strongest for premenopausal breast cancer.",1.0,1,1,1,['37480103'],['37480103'],0.5,sucesso_do_reranker
SciFact,1270,The risk of male prisoners harming themselves is ten times that of female prisoners.,1.0,1,1,1,['13900610'],['13900610'],0.0,sem_mudanca_relevante
SciFact,1271,The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,1.0,1,1,1,['13768432'],['13768432'],0.0,sem_mudanca_relevante
SciFact,1272,The single flash-evoked ERG b-wave is generated by activity of ON-bipolar cells.,1.0,1,1,1,['17081238'],['17081238'],-0.11314719276545837,falha_ou_piora_do_reranker
SciFact,1273,The sliding activity of kinesin-8 protein Kip3 promotes bipolar spindle assembly.,1.0,1,1,1,['11041152'],['11041152'],0.0,sem_mudanca_relevante
SciFact,1274,The tip of the inner tube of the toxic type VI secretion system (T6SS) antibacterial effector in Escherichia coli (E. coli) carries toxic effector proteins.,1.0,3,3,3,"['4406819', '27731651', '12428814']","['4406819', '27731651', '12428814']",0.18302815606146927,sucesso_do_reranker
SciFact,1278,The treatment of cancer patients with co-IR blockade does not cause any adverse autoimmune events.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1279,The treatment of cancer patients with co-IR blockade precipitates adverse autoimmune events.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1280,"The ureABIEFGH gene cluster encodes urease maturation proteins : UreD/UreH, UreE, UreF, and UreG.",1.0,1,0,1,[],['4387784'],0.3562071871080222,sucesso_do_reranker
SciFact,1281,The ureABIEFGH gene cluster is induced by nickel (II) ion.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1282,Therapeutic use of the drug Dapsone to treat pyoderma gangrenous is based on anecdotal evidence.,1.0,1,1,1,['23649163'],['23649163'],0.0,sem_mudanca_relevante
SciFact,1290,There is an inverse relationship between hip fractures and statin use.,1.0,1,1,1,['4687948'],['4687948'],0.0,sem_mudanca_relevante
SciFact,1292,There is no association between HNF4A mutations and diabetes risks.,1.0,1,1,1,['56893404'],['56893404'],0.0,sem_mudanca_relevante
SciFact,1298,Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,1.0,1,1,1,['11718220'],['11718220'],0.0,sem_mudanca_relevante
SciFact,1303,Tirasemtiv has no effect on fast-twitch muscle.,1.0,1,1,1,['12631697'],['12631697'],-0.6666666666666667,falha_ou_piora_do_reranker
SciFact,1316,Transferred UCB T cells acquire a memory-like phenotype in recipients.,1.0,1,0,0,[],[],0.0,relevantes_existiam_nos_candidatos_mas_ficaram_fora_top10
SciFact,1319,Transplanted human glial cells can differentiate within the host animal.,1.0,1,1,1,['16284655'],['16284655'],0.20025319549806447,sucesso_do_reranker
SciFact,1320,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,1.0,1,1,1,['16284655'],['16284655'],-0.36907024642854247,falha_ou_piora_do_reranker
SciFact,1332,Tumor necrosis factor alpha (TNF-α) and interleukin-1 (IL-1) are pro-inflammatory cytokines that inhibit IL-6 and IL-10.,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
SciFact,1335,UCB T cells maintain high TCR diversity after transplantation.,1.0,1,1,1,['27910499'],['27910499'],0.0,sem_mudanca_relevante
SciFact,1336,UCB T cells reduce TCR diversity after transplantation.,1.0,1,1,1,['27910499'],['27910499'],0.0,sem_mudanca_relevante
SciFact,1337,Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,1.0,1,1,1,['20231138'],['20231138'],0.0,sem_mudanca_relevante
SciFact,1339,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,1.0,1,1,1,['15482274'],['15482274'],0.0,sem_mudanca_relevante
SciFact,1344,Up-regulation of the p53 pathway and related molecular events casues cancer resistance and results in a significantly shortened lifespan marked by senescent cells and accelerated organismal aging.,1.0,1,1,1,['9559146'],['9559146'],0.0,sem_mudanca_relevante
SciFact,1352,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,1.0,1,1,1,['12885341'],['12885341'],0.0,sem_mudanca_relevante
SciFact,1359,Varenicline monotherapy is more effective after 12 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,1.0,1,1,1,['11614737'],['11614737'],0.0,sem_mudanca_relevante
SciFact,1362,Venules have a larger lumen diameter than arterioles.,1.0,1,1,1,['8290953'],['8290953'],0.5,sucesso_do_reranker
SciFact,1363,Venules have a thinner or absent smooth layer compared to arterioles.,1.0,1,1,1,['8290953'],['8290953'],0.0,sem_mudanca_relevante
SciFact,1368,Vitamin D deficiency effects the term of delivery.,1.0,1,0,1,[],['2425364'],0.43067655807339306,sucesso_do_reranker
SciFact,1370,Vitamin D deficiency is unrelated to birth weight.,1.0,1,1,1,['2425364'],['2425364'],0.11314719276545837,sucesso_do_reranker
SciFact,1379,Women with a higher birth weight are more likely to develop breast cancer later in life.,1.0,4,2,4,"['17450673', '16322674']","['27123743', '23557241', '17450673', '16322674']",0.5322965481013788,sucesso_do_reranker
SciFact,1382,aPKCz causes tumour enhancement by affecting glutamine metabolism.,1.0,1,0,1,[],['17755060'],1.0,sucesso_do_reranker
SciFact,1385,cSMAC formation enhances weak ligand signalling.,1.0,1,1,1,['306006'],['306006'],0.0,sem_mudanca_relevante
SciFact,1389,mTORC2 regulates intracellular cysteine levels through xCT inhibition.,1.0,1,1,1,['23895668'],['23895668'],0.0,sem_mudanca_relevante
SciFact,1395,p16INK4A accumulation is  linked to an abnormal wound response caused by the microinvasive step of advanced Oral Potentially Malignant Lesions (OPMLs).,0.0,1,0,0,[],[],0.0,falha_bm25_sem_relevantes_no_top100
TREC-COVID,1,what is the origin of COVID-19,0.03296703296703297,637,3,7,"['dv9m19yk', 'hmvo5b0q', 'fqs40ivc']","['4dtk1kyh', 'thg4fqi2', 'xuczplaf', 'sh7lrdou', 'e6h1qvdk', 'zd7smm8r', 'cniyembt']",0.2674663034209539,sucesso_do_reranker
TREC-COVID,2,how does the coronavirus respond to changes in the weather,0.10509554140127389,314,6,8,"['526elsrf', 'w5kjmw88', 'qp77vl6h', 'w7ycc07b', 'r1yjphnn', 'gan10za0']","['w7ycc07b', '26gf4q1v', '04rbtmmi', 'fj3a2y1o', 'tyhtdawb', 'r1yjphnn', 'gan10za0', 'jc1k3fki']",0.329922578536134,sucesso_do_reranker
TREC-COVID,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,0.06050955414012739,628,7,5,"['eo4ehcjv', 'wfftfkam', '7dw32xby', 'yzffm05r', 'z62nt4jc', '8earvduw', '38mhmxvd']","['hechmemo', 'fi1ldwe8', '066rysjh', '8earvduw', 'yzffm05r']",-0.33427943517700565,falha_ou_piora_do_reranker
TREC-COVID,4,what causes death from Covid-19?,0.022684310018903593,529,2,2,"['9yb9a9vz', 'dtlwjndn']","['9yb9a9vz', '8efdzlc0']",0.10423544941121451,sucesso_do_reranker
TREC-COVID,5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,0.08306188925081433,614,7,6,"['w9mij6c6', '5f95gve3', 'n2tckfjq', 'puc13jf1', '1cc9ig04', 'hsc2x36j', '61nwk2sg']","['5f95gve3', '3pxc5wot', 'ai2zcke5', 'w9mij6c6', 'urpianz6', '7h3rrea7']",-0.23047170211485568,falha_ou_piora_do_reranker
TREC-COVID,6,what types of rapid testing for Covid-19 have been developed?,0.04483837330552659,959,7,9,"['r7glmi7p', 'qexn0nuy', 'zyrzfm40', 'ile2md92', 'm8n2p55z', 'luifhy6g', 'hmt9ojvc']","['r7glmi7p', 'isswwnzn', 'hmt9ojvc', '5t38x587', '401tisd3', '1dr4r3n4', 'awy3aans', 'c5dm1d6t', 'b3wp314u']",0.2505854427698374,sucesso_do_reranker
TREC-COVID,7,are there serological tests that detect antibodies to coronavirus?,0.14345114345114346,481,8,9,"['q2b4ig1h', '8hrjgcas', '82iy2prw', '84yjdlab', '9skvbk8m', '0jl6qu0i', '0yj3xp9s', 'jg0br2ro']","['01mo6yo9', 'ofd2ipvs', 'q2b4ig1h', '8hrjgcas', 'r356sn9t', 'oihyz5v7', '50chmcow', 'rl7vrv9i', 'fn9t38as']",0.08010877076230571,sucesso_do_reranker
TREC-COVID,8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0.06962025316455696,632,6,8,"['dz1lfwzp', '79gozr1p', 'll2pnl81', 'kusqyumn', 'hnbatlj0', 'ckecol7i']","['kusqyumn', 'uzrxtgrg', '4i0gici7', 'glu5xlsd', '6f2nzvhz', 'szvb2gsf', 'i9ndb71n', 'gi3vfi68']",0.15609576520707913,sucesso_do_reranker
TREC-COVID,9,how has COVID-19 affected Canada,0.11518324607329843,191,3,4,"['zzvmj5qy', 'wb32j7s0', 'qy66ih4m']","['y8ntig41', '54obt430', 'vwwt70mo', '8508n0ex']",0.21517125576163673,sucesso_do_reranker
TREC-COVID,10,has social distancing had an impact on slowing the spread of COVID-19?,0.14526315789473684,475,9,9,"['pn02p843', 'cb5ebiiv', 'uwix8ftr', 'p1jeiljo', '6a6njt3u', 'qekxxsfy', 'xbuypaf6', '3nanf73b', 'ru0av4io']","['pn02p843', 'j1ma6r50', 'cb5ebiiv', 'qekxxsfy', '17wpnfao', '3nanf73b', 'ocwetgv6', '5296m6d8', 'sb45v082']",-0.0030333244884570565,falha_ou_piora_do_reranker
TREC-COVID,11,what are the guidelines for triaging patients infected with coronavirus?,0.01927710843373494,415,0,3,[],"['eazqdlds', 'ba5x3ysq', 'h1z8rg9p']",0.4690000933206748,sucesso_do_reranker
TREC-COVID,12,what are best practices in hospitals and at home in maintaining quarantine?,0.04383116883116883,616,4,5,"['agwhkfcb', '4vhlgqig', 'f6kaef4a', 'd0ccqrmu']","['hv7z11al', 'agwhkfcb', '0croajal', 'kkatc8ku', 'jt7ctj2z']",0.1116200096865016,sucesso_do_reranker
TREC-COVID,13,what are the transmission routes of coronavirus?,0.06343713956170703,867,8,8,"['85vnyr36', '2yblpbwm', '2ftw85xw', 'lasv4e6a', 'wywldhr0', '2ewz8ok4', 'mfnzkvd0', '2e4gz2bo']","['2yblpbwm', '85vnyr36', '12sbikmx', 'ioo17gc3', 'ruk46455', '2e4gz2bo', '0a5fccio', '9of9gijc']",0.07502894742581134,sucesso_do_reranker
TREC-COVID,14,what evidence is there related to COVID-19 super spreaders,0.15294117647058825,255,10,1,"['p48bw6s4', 'na3vrf5q', 's9dy7iyf', 'v0vjkwy9', 'cywjp5jh', 'j74wnaef', '8ngri1x0', '37katpp3', 'q9lfnu6s', '414grqif']",['8ngri1x0'],-0.7681486832215605,falha_ou_piora_do_reranker
TREC-COVID,15,how long can the coronavirus live outside the body,0.014184397163120567,423,2,1,"['959w9sln', 'zpek8i5e']",['959w9sln'],-0.17853823829819593,falha_ou_piora_do_reranker
TREC-COVID,16,how long does coronavirus remain stable  on surfaces?,0.09560723514211886,387,7,9,"['7ftq02ev', 'pdmfxssd', 'khpc9f98', 'ej93duxi', 'tjplc5j6', 'xbw72k4m', 'ou7w3zkv']","['khpc9f98', 'ou7w3zkv', 'gp3ib74q', 'ywusapij', '80dfqjql', '5gayhkxx', 'h9gj814e', 'tjplc5j6', 'zmaw9lbz']",-0.004684791523750453,falha_ou_piora_do_reranker
TREC-COVID,17,are there any clinical trials available for the coronavirus,0.07634730538922156,668,9,9,"['iymmf4k6', 'z17knvts', 'vjg2auh7', 'gey0nidn', 'jd1b7asr', 'vxqdfiel', 'p36zubnf', 'bfui91w7', '4stz2t7s']","['f5tpz8ze', 'jwrheaph', 'iy0h2pyf', '6wszpqvx', 'vxqdfiel', 'iymmf4k6', 'gey0nidn', 'pftu5qea', 'p36zubnf']",0.05651263172050769,sucesso_do_reranker
